,Mkt-RF,SMB,HML,RF,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
192802,-1.7,-2.03,-0.69,0.33,-4.18,1.26,-2.61,-0.22,0.99,-0.84,-0.3,-0.68,-1.12,-1.38,-2.79,-1.94
192803,8.81,-0.26,-1.2,0.29,4.41,27.49,6.4,5.32,12.62,22.44,1.96,6.62,8.49,10.54,9.57,5.85
192804,4.23,3.82,3.67,0.22,-0.46,1.46,2.03,15.12,0.06,2.31,3.22,10.94,0,2.35,8.87,3.88
192805,1.52,2.98,-3.46,0.32,0.9,5.65,3.97,-5.29,2.69,1.69,6.61,1.51,3.79,9.27,2.28,-0.17
192806,-4.85,-3.5,-0.06,0.31,-4.41,-4.08,-5.59,-4.07,-2.73,-5.35,-5.22,-3.43,-3.4,-3.15,-9.91,-3.82
192807,0.62,-1.35,-0.47,0.32,1.68,0.94,2.15,1.05,2.01,-0.03,-1.28,-1.24,5.44,2.39,0.29,-0.43
192808,6.68,-2.07,-2.11,0.32,6.11,9.04,8.17,2.41,8.91,11.17,4.55,6.46,13.53,14.57,5.23,4.7
192809,2.88,2.18,0.76,0.27,1.14,7.88,3.63,5.34,4.6,1.29,0.15,3.76,0.17,-1.14,12.14,0.89
192810,1.33,2.27,-2.26,0.41,0.9,0.08,3.91,2.04,5.11,1.98,2.97,-1.89,5.9,0.05,2.6,-0.7
192811,11.81,-1.81,2.8,0.38,6.62,4.51,12.74,17.23,12.89,21.68,6.68,21.93,15.29,5.05,10,10.02
192812,0.36,-0.85,-0.6,0.06,-0.52,-1.22,3.26,-4.36,1.93,8.18,-0.38,1.57,-1.32,-0.41,1.17,0.37
192901,4.66,-3.55,-1.21,0.34,3.38,1.3,7.08,-7.59,21.78,11.54,13.38,13.17,-3.88,3.43,8.26,5.33
192902,-0.34,-0.39,1.68,0.36,-2.62,-0.03,4.8,-0.1,-0.58,-0.94,-1.15,-1.99,-2.41,0.05,0.83,-0.06
192903,-0.89,-4.78,1.56,0.34,-4.62,-1.88,-1.28,11.03,-3.56,5.29,4.29,-3.17,-5.13,-1.5,-1.22,-2.26
192904,1.43,-0.99,0.61,0.36,1.8,-0.98,1.78,0.74,3.61,1.91,3.39,5.13,3.75,1.48,0.46,0.44
192905,-6.39,-5.46,-1.57,0.44,-3.98,-15.05,-10.45,-5.57,-7.22,0.69,-8.77,4.8,-8.65,-7.84,-3.2,0.35
192906,9.7,-2.17,-2.76,0.52,5.32,7.01,10.71,1.14,19.59,18.18,13.7,23.47,9.47,4.52,6.34,5.67
192907,4.46,-3.87,2.67,0.33,3.23,-2.95,3.86,0.16,4.83,9.42,13.68,9.14,0.96,2.59,8.43,6.29
192908,8.18,-9.51,0.07,0.4,4.77,3,8.97,11.36,10.92,12.36,10.98,9.05,7.8,3.09,6.13,8.12
192909,-5.47,1.17,-0.63,0.35,-3.6,-8.35,-7.16,-2.95,-6.26,-8.34,-1.37,1.32,-5.38,-7.02,-5.93,-6.52
192910,-20.12,-4.08,7.85,0.46,-10.64,-28.94,-17.19,-10.07,-24.79,-29.57,-15.39,-30.04,-24,-18.02,-29.4,-9.12
192911,-12.74,-1.91,5.33,0.37,-8.45,-17.31,-13.5,-6.42,-16.13,-19.7,-9.47,-14.64,-12.59,-7.9,-14.02,-9.03
192912,1.33,-4.2,-0.59,0.37,0.7,4.9,0.1,-1.18,5.82,11.87,1.01,7.94,-5.98,1.11,0.16,-0.57
193001,5.61,3.58,-1.01,0.14,5.7,5.95,6.44,-0.76,8.53,10.77,1.2,7.25,4.73,2.55,9.68,4.19
193002,2.5,0.12,0.39,0.3,2.15,2.44,2.61,-4.49,2.11,7.23,7.06,8.57,-5.13,3.15,6.13,2.94
193003,7.1,3.44,0.15,0.35,2.12,11.37,5.93,17.94,9.96,8,8.79,9.72,-2.44,5.99,8.64,4.3
193004,-2.06,-0.17,-0.84,0.21,0.55,-7.81,-7.68,6.55,-4.96,1.59,-4.52,3.34,2.6,-1.27,-4.02,-6.89
193005,-1.66,-2.04,-0.63,0.26,1.36,4.12,-1.59,-3.73,-2.43,-4.58,0.4,-1.33,-0.16,-1.49,-5.6,-0.28
193006,-16.27,-3.22,2,0.27,-11.04,-22.27,-15.91,-15.47,-17.83,-20.18,-8.34,-19.06,-16.15,-13.34,-21.51,-10.54
193007,4.12,-0.37,-1.56,0.2,3.14,12.1,4.29,5.18,5.71,4.14,1.27,4.06,2.7,6.52,4.42,3.31
193008,0.3,-2.22,-0.78,0.09,1.98,-1.89,-1.34,-3.2,3.87,1.74,1.74,1.18,4.96,7.71,1.27,-0.62
193009,-12.75,-2.22,-5.27,0.22,-8.96,-16.73,-13.8,-15.46,-13.15,-19.11,-5.27,-11.92,-10.91,-8.7,-18.13,-9.36
193010,-8.78,-0.1,-1.35,0.09,-4.85,-11.64,-9.68,-8.37,-10.71,-18.07,-4.12,-8.28,-8.61,-4.37,-15.43,-7.43
193011,-3.04,2.21,-3.53,0.13,0.18,5.37,-0.52,-3.72,-0.36,-3.5,-3.27,-8.74,2.74,-3.23,-8.45,-4.73
193012,-7.83,-4.68,-5.39,0.14,-4.59,-1.26,-9.92,-12.32,-4.73,-10.58,-3.8,-3.69,-13.44,-6.79,-12.53,-8.34
193101,6.24,3.81,7.21,0.15,5.4,8.02,4.64,5.31,1.19,5.19,4.79,5.53,7.19,8.23,18.42,11.03
193102,10.88,3.39,1.6,0.04,6.81,17.37,13.42,5.77,11.7,23.61,5.95,15.27,14.79,7.81,17.32,3.99
193103,-6.43,3.07,-3.65,0.13,-1.69,-3.81,-6.98,-14.26,-6.29,-7.87,-3.58,-2.94,-3.27,1.8,-8.55,-9.54
193104,-9.98,-4.61,-3.92,0.08,-5.29,-7.87,-15.12,-13.45,-10.72,-14.21,-4.25,-9.04,-4.84,-3.62,-15.16,-9.09
193105,-13.24,5.16,-6.57,0.09,-11.01,-16.08,-18.61,-12.54,-11.73,-12.37,-8.94,-11.15,-3.27,-10.26,-19.06,-17.21
193106,13.9,-5.38,11.3,0.08,10.73,14.63,17.57,17.57,16.78,19.14,10.21,11,7.86,9.69,23.48,15.36
193107,-6.62,1.43,-2.1,0.06,-3.81,-2.1,-12.63,-3.63,-5.24,-10.63,-4.87,-5.39,-1.53,2.61,-8.81,-10.15
193108,0.41,-1.97,-1.49,0.03,-0.65,-2.78,-0.36,9.48,0.83,3.55,0.82,-1.74,3.02,0.39,0.39,-4.86
193109,-29.13,0.56,-6.75,0.03,-24.69,-34.8,-28.84,-29.84,-31.43,-34.65,-21.56,-33.05,-30.24,-29.45,-40.02,-23.32
193110,8.04,-1.87,1.7,0.1,6.89,12.96,5.82,14.02,7.3,11.58,4.34,10.48,13.97,11.26,12.02,0.01
193111,-9.08,4.3,-5.05,0.17,-4.35,-3.49,-9.97,-8.69,-5.67,-14.51,-6.86,-4.77,-9.4,-2.79,-11.19,-20.86
193112,-13.53,-0.56,-8.86,0.12,-9.51,-8.78,-19.89,-18.91,-6.76,-13.75,-7.94,-13.24,-15.17,-4.1,-20.98,-15.41
193201,-1.58,3.94,9.04,0.23,2.06,-6.9,1.79,-4.86,-4.32,-12.71,-4.04,-2.52,0.79,-2.66,3.75,7.36
193202,5.46,-2.77,-1.45,0.23,5.37,2.09,4.56,8.75,7.35,7.71,11.63,7.04,4.11,2.05,13.62,-3.1
193203,-11.21,2.27,-2.32,0.16,-5.98,-22.18,-14.69,-1.1,-12.8,-15.95,-9.9,-9.57,-9.27,-6.41,-15.21,-16.18
193204,-17.96,1.44,1.42,0.11,-11.35,-29.53,-20.66,-13.94,-27.72,-22.52,-12.39,-15.5,-15.71,-19.77,-19.26,-23.1
193205,-20.51,3.72,-3.28,0.06,-21.22,-18.59,-21.34,-5.56,-12.9,-30.2,-10.81,-26.82,-29.4,-34.08,-30.32,-29.95
193206,-0.7,0.35,5.32,0.02,1.16,-7.82,1.16,5.94,-7.98,7.99,-9.55,1.45,-0.59,11.05,6.25,-4.14
193207,33.84,-4.44,35.46,0.03,24.7,44.95,46.64,35.13,30.16,49.48,16.7,29.35,27.11,29.18,52.07,56.86
193208,37.06,14.29,33.03,0.03,22.71,45.25,52.18,19.49,33.17,48.24,28.17,43.46,32.91,35.87,59.48,58.54
193209,-2.94,-2.43,-6.82,0.03,-0.86,8.5,-5.62,-10.16,4.74,-6.11,0.24,-4.65,3.06,-11.92,-6.87,-3.35
193210,-13.17,-2.76,-10.04,0.02,-11.41,-24.75,-15.92,-3.79,-14.72,-20.63,-8.13,-10.82,-12.68,-18.56,-17.18,-18.23
193211,-5.88,2.08,-13.28,0.02,-7.1,-2.71,-13.95,-4.53,-2.45,-8.84,-1.12,-3.6,-5.61,5.53,-3.39,-7.84
193212,4.4,-8.27,-8.16,0.01,3.81,4.47,-0.51,0.05,10.7,6.87,3.67,9.12,5,6.82,8.87,3.74
193301,1.25,0.63,6.14,0.01,4.65,0.83,4.73,-3.01,1.69,0.6,0.31,-4.38,-2.4,-1.13,1.51,10.68
193302,-15.24,-2.75,-2.73,-0.03,-9.06,-24.48,-17.41,-13.9,-17.25,-21.28,-7.77,-19.85,-17.96,-10.82,-20.14,-15.39
193303,3.29,3.9,7.38,0.04,10.37,9.23,13.76,4.39,6.41,6.64,-5.85,-12.79,8.53,-3.16,-6.84,6.6
193304,38.85,4.56,17.43,0.1,34.17,79.79,60.17,38.99,48.6,58.59,13.22,25.36,42.45,37.13,42.8,27.95
193305,21.43,36.7,19.03,0.04,12.71,26.05,25.78,17.71,25.97,19.8,17.37,19.29,17.06,23.49,26.21,32.86
193306,13.11,8.67,-1.88,0.02,10.34,20.75,13.12,12.5,10.6,11.38,10.5,15.58,16.26,10.39,18.49,13.54
193307,-9.63,-1.01,3.27,0.02,-6.61,-7.05,-12.17,-12.05,-9.47,-11.48,-4.36,-13.58,-13.46,-19.11,-12.47,-5.21
193308,12.05,-5.45,2.96,0.03,9.86,20.76,14.39,19.07,19.23,13.3,4.53,-1.23,7.15,-0.38,9.16,15.86
193309,-10.65,-0.32,-11.77,0.02,-7.45,-15.32,-10.99,-2.69,-8.23,-18.41,-3.56,-19.74,-8.74,-1.31,-16.95,-16.3
193310,-8.36,-0.08,-8.46,0.01,-9.12,-10.06,-9.87,-4.85,-4.64,-10.11,-7.18,-7.5,-7.83,-6.02,-13.03,-10.36
193311,9.97,-6.48,2.33,0.02,5.21,25.38,11.63,14.69,14.42,13.2,5.63,-2.39,14.45,9.4,6.55,5.08
193312,1.83,0.66,-1.53,0.02,-3.39,10.45,4.34,-1.27,5.04,1.07,-3.75,1.05,4.57,-11.73,3.45,4.97
193401,12.6,12.53,15.54,0.05,10.02,13.2,14.65,8.73,5.12,16.95,5.97,20.52,17.3,16.77,23.93,17.41
193402,-2.5,5.19,2.12,0.02,-4.98,-2.06,-3.36,-3.38,-2.47,-7.4,2.12,-1.69,3.03,-3.59,-1.73,-1.92
193403,0.09,2.51,-2.73,0.02,1.17,-0.3,-1.03,-1.33,-1.81,4.21,1.27,-1.8,2.4,-0.64,0.58,0.88
193404,-1.79,2.8,-3.75,0.01,3.1,-6.85,-2.33,-1.99,-2.76,-3.72,-1.25,-3.75,-1.21,8,-1.06,-1.78
193405,-7.25,-0.26,-5.91,0.01,-3,-12.82,-11.29,-4.64,-6.76,-8.13,-4.3,-7.73,-7.92,-0.38,-8.34,-7.13
193406,2.64,-2.14,-2.92,0.01,3.85,-2.75,3.85,1.2,4.83,2.75,1.32,4.26,2.43,2.04,5.08,2.65
193407,-10.96,-6.94,-10.66,0.01,-5.12,-13.83,-14.69,-9.73,-5.18,-13.9,-4.34,-17.24,-8.35,-1.89,-14.77,-17.87
193408,5.58,5.42,0.5,0.01,4.22,10.87,8,6.12,6.32,7.36,2.56,2.04,4.72,-3.05,5.65,4.14
193409,-0.23,-1.52,-1.24,0.01,0.23,0.68,-1.93,-2.32,0.32,-0.58,1.9,1.61,2.55,0.8,-2.4,0.15
193410,-1.66,1.24,-5.11,0.01,0.61,-2.08,-1.11,-4.69,1.13,-2.26,-1.56,-7.61,1.68,-0.71,1.86,-3.18
193411,8.33,6.49,-2.24,0.01,8.49,17.61,14.58,7.03,9.08,15.05,-1.73,-0.25,9.61,4.07,8.68,4.86
193412,0.36,3.08,-3.17,0.01,-0.94,3.56,3.65,0.68,-0.18,4.12,-0.59,-8.66,-1.04,0.62,1.44,-0.59
193501,-3.45,1.07,-1.89,0.01,-1.41,-9.03,-3.17,-4.37,-0.85,1.26,-0.46,-3.16,-5.27,-0.86,-4.98,-7.17
193502,-1.94,0.42,-7.24,0.02,1.61,-3.27,-2.95,-3.35,0.92,-1.19,1.04,-12.16,-0.62,4.25,-1.66,-5.53
193503,-3.68,-3.54,-5.06,0.01,-4.62,-5.82,-5.25,-3.82,-3.6,-4.98,-0.72,12.34,-4.33,-3.14,-1.84,-6.31
193504,9.06,-1.56,4.27,0.01,5.72,5.73,9.85,15.48,8.26,9.15,9.13,11.14,6.47,3.18,6.29,9.48
193505,3.47,-3.28,2.52,0.01,1.1,2.96,1.44,3.51,2.44,2.99,8.38,13.76,2.53,-4.02,5.69,3.37
193506,5.93,-5.03,2.13,0.01,5.51,9.78,6.94,1.51,5.84,8.06,5.35,9.11,6.28,4.09,7.35,6.02
193507,7.51,1.47,6.86,0.01,3.14,19.08,13.75,0.13,5.1,11.56,5.74,9.22,7.51,3.19,8.06,7.03
193508,2.65,6.28,5.7,0.01,-1.56,9.01,2.35,-1.89,4.41,3.82,4.07,7.21,3.09,0.29,5.67,2.7
193509,2.63,1.57,-4.05,0.01,1.69,11.09,3.21,-3.33,6.12,7.97,4.28,-2.03,-0.57,1.11,-1.82,1.4
193510,7.03,2.65,-2.33,0.01,4.48,13.63,7.44,13.52,3.38,9.28,3.11,14.13,1.22,5.97,8.01,0.68
193511,4.88,4.3,11.91,0.02,1.1,3.49,5.86,2.78,1.63,7.5,9.72,0.82,2.92,1.74,12.69,13.36
193512,4.56,0.22,1.07,0.01,2.08,5.8,4.69,14.09,1.41,4.38,-0.16,5.62,-1.02,2.35,5.46,3.93
193601,6.89,5.1,10.51,0.01,3.24,3.89,5.82,14.06,4.77,7.34,4.17,12.53,-2.81,3.46,6.55,14.01
193602,2.49,1.14,5.04,0.01,0.61,3.74,7.15,1.26,2.35,0.13,6.57,-6.59,0.99,3.45,-0.86,3.93
193603,0.99,0.66,-1.66,0.02,-2.08,10.19,2.48,1.75,2.67,-0.91,-3.37,0.64,1.14,3.52,-2.29,-3.16
193604,-8.14,-6.03,-2.08,0.02,-4.45,-10.15,-9.97,-10.28,-6.77,-8.91,-5.66,-8.34,-5.24,-9.19,-7.58,-7.38
193605,5.19,0.81,2.63,0.02,4.96,4.06,6.45,-0.57,5.45,5.57,6.46,9.52,6.7,4.8,13.05,5.71
193606,2.4,-3.25,-1.2,0.03,2.32,6.86,0.03,1.73,4.03,0.61,2.43,3.62,5.29,1.29,3.7,1.16
193607,6.67,1.14,2.56,0.01,2.97,4.91,7.37,4.74,8.15,12.98,2.44,11.59,6.21,4.65,7.16,10.5
193608,0.99,0.72,3.99,0.02,0.84,-0.28,3.01,-0.67,-1.12,3.04,1.76,-1.03,2.49,-1.48,0.21,2.37
193609,0.98,3.07,0.88,0.01,-0.66,3.26,1.87,1.39,1.91,-0.91,0.33,-2.05,2.94,0.77,2.3,0.43
193610,7.12,-2.39,2.52,0.02,3.37,5.08,8.22,12.48,6.26,6.37,5.09,5.72,11.22,3.78,5.49,8.98
193611,3.27,9.01,-0.92,0.01,4.53,-1.37,5.91,1.48,4.53,5.51,3.87,-2.86,11,3.4,5.96,-1.26
193612,0.21,3.61,3.96,0,-1.42,-7.24,3.52,9.24,-1.51,3.25,-0.4,-1.63,-8.14,-2.04,-2.65,-0.68
193701,3.35,4.31,2.61,0.01,2.45,7.27,5.14,2.41,2.76,10.24,-0.85,2.61,0.07,3.47,0.48,1.23
193702,1.09,1.23,5.05,0.02,0.89,-0.5,4.29,1.49,-0.89,-1.56,-3.06,-4.19,3.06,-3.72,-0.38,6.43
193703,-0.27,-1.78,6.39,0.01,-1.01,-4.13,2.74,3.39,-2.01,-4.74,-2.09,-6.32,-2.73,-5.03,-3.63,4.6
193704,-7.36,-3.77,-3.61,0.03,-6.38,-7.9,-11.26,-5.3,-4.07,-7.79,-5.25,-7.47,-7.24,-3.32,-6.85,-6.83
193705,-0.83,-0.66,-3.49,0.06,-0.44,-1.97,1.09,-0.24,1.69,-0.56,1.53,-5.27,-4.54,1.68,-3.27,-3.34
193706,-4.21,-3.65,-3.21,0.03,-3.24,-10.77,-3.64,-2.66,-3.16,-1.8,1.39,-5.26,-1.59,-4.12,-4.95,-10.05
193707,8.91,0.85,0.82,0.03,5.07,13.23,10.73,8.42,5.41,10.27,3.27,19.32,10.33,4.14,16.22,6.3
193708,-4.86,0.42,-2.25,0.02,-2.47,-2.27,-4.74,-6.57,-3.02,-5.81,-2.54,-10.18,-4.27,1.09,-15.07,-5.95
193709,-13.61,-6.89,-4.57,0.04,-9.12,-12.67,-20.36,-13.21,-9.6,-15.44,-2.1,-11.75,-14.1,-10.76,-14.58,-16.31
193710,-9.61,0.45,-1.62,0.02,-7.06,-12.88,-14.65,-6.95,-11.37,-7.7,-5.36,-4.88,-7.04,-3.55,-8.35,-10.71
193711,-8.31,-3.65,0.2,0.02,-5.86,-15.24,-9.25,-11.48,-9.39,-3.92,-3.59,2.9,-14.36,-5.12,-7.39,-6.67
193712,-4.24,-7.76,-0.39,0,-2.27,-16.27,-3.41,-1.25,0.41,-3.55,-1.54,-10.69,-6.55,-2.41,-7.02,-6.5
193801,0.49,4.97,-1.6,0,2.96,11.05,-1.35,0.51,-0.99,-2.74,-2.43,-5.7,5.92,3.52,-0.23,0.73
193802,5.84,0.35,-2.02,0,3.46,3.47,8.75,9.42,7.39,5.37,-2.32,3.64,9.5,8.61,6.7,4.3
193803,-23.82,-4.24,-3.52,-0.01,-15.79,-27.35,-27.34,-25.2,-22.22,-28.81,-17.44,-19.61,-22.19,-14.44,-25.19,-31.24
193804,14.51,6.37,0.18,0.01,12.27,14.85,17.53,15.92,8.23,16,13.47,14.78,16.18,11.82,16.56,13.81
193805,-3.83,-2.47,-0.28,0,-0.23,-6.92,-8.52,-5.82,-3.25,-3.14,0.83,2.21,-3.86,1.71,-5.14,-3.53
193806,23.87,4.05,0.3,0,13.2,36.01,34.94,21.98,27.55,29,12.42,16.9,24.03,10.07,26.37,24.31
193807,7.34,6.66,2.18,-0.01,6.61,19.89,6.93,7.38,6.29,6.1,1.28,0.68,9.06,5.8,8.89,10.36
193808,-2.67,-2.44,-4.72,0,-4.02,5.97,-3.11,-8.82,0.22,-0.83,0.28,-5.53,-2.4,0.36,-4.09,-3.61
193809,0.81,-2.72,-1.62,0.02,0.51,0.69,1.27,0.82,2.49,1.45,0.85,1.23,0.06,-0.01,0.03,-1.66
193810,7.8,5.83,5.01,0.01,5.15,6.49,12.14,-1.56,7.17,11.12,3.56,21.09,8.04,5.63,9.45,11.64
193811,-1.72,-2.56,-1.23,-0.06,-2.49,-1.2,-1.83,-0.11,-0.63,-4.95,0.65,-7.01,-0.37,1.44,-1.46,-2.2
193812,4.19,-1.8,0.5,0,2.76,2.12,5.68,4.86,5.2,3.01,2.57,3.95,1.03,0.85,0.83,8.08
193901,-5.96,-1.56,-3.92,-0.01,-1.92,-8.33,-10.99,-6.29,-5.81,-7.78,1.81,1.21,-3.14,-0.96,-6.12,-9.4
193902,3.51,0.63,2.95,0.01,2.46,7.06,3.83,-1.18,1.11,3.45,3.53,8.78,6.2,3.72,4.31,4.82
193903,-11.99,-4.76,-8.29,-0.01,-5.75,-17.63,-19.26,-8.31,-7.6,-16.96,-2.21,-13.63,-9.59,-4.33,-11.93,-15.88
193904,-0.18,1.66,-0.3,0,0.62,0.72,-1.9,-1.06,-1.34,-1.14,2.75,3.03,-0.13,1,-3.33,-1.35
193905,6.8,2.81,0.47,0.01,5.47,7.89,8.92,2.56,6.19,7.14,5.56,6.61,11.38,5.49,8.83,7.76
193906,-5.31,-1.02,-5.41,0.01,-2.04,-6.78,-8.69,-6.12,-2.32,-8.79,-3.79,-3.55,-2.7,1.1,-5.31,-8.35
193907,10.24,4.32,-0.03,0,6.22,17.58,14.38,3.03,10.08,15.38,6.51,12.71,8.71,3.08,11.12,11.73
193908,-6.68,-4.61,-2.42,-0.01,-7.36,-6.94,-9.12,-3.91,-2.68,-9.09,-4.19,-6.01,-7.33,-5.43,-9.32,-10.17
193909,16.88,20.23,22.22,0.01,4.79,23.72,32.37,25.56,15.69,15.99,2.37,3.6,1.59,7.07,12.27,29.8
193910,-0.53,-0.01,-4.89,0,3.26,-1.4,-2.31,-3.93,-2.42,-1.81,3.05,2.11,5.77,0.21,-0.11,-1.99
193911,-3.62,-5.07,-6.46,0,-0.47,-2.92,-7.7,-6.14,-2.38,-3.35,0.97,-1.49,-2.31,1.22,-0.45,-6.32
193912,3.03,0.79,-4.06,0,3.17,3.88,3.48,-0.08,4.59,3.92,2.87,2.95,3.03,3.77,2.77,2.26
194001,-2.41,0.24,-0.77,0,1.69,-3.83,-6.24,-2.19,-1.96,-4.27,-0.12,-0.05,-0.95,-1.79,0.56,-3.61
194002,1.44,2.51,-0.32,0,0.94,2.08,2.32,0.97,2.53,0.4,1.04,-1.24,2.51,1.48,0.39,1.02
194003,2.05,1.25,-1.27,0,1.65,3.78,1.14,1.72,2.12,3.38,1.16,1.74,3.08,1.9,2.51,2.67
194004,0.22,3.92,-0.13,0,1.75,-0.54,0.84,0.18,0.86,-2.38,0.33,-1.35,-0.13,-0.31,-0.9,-0.73
194005,-21.95,-6.66,-3.69,-0.02,-20.91,-26.04,-23.73,-24.47,-19.59,-21.19,-14.13,-19.94,-24.41,-21.21,-26.13,-23.36
194006,6.67,-2.13,4.63,0,5.38,8.68,3.4,5.67,4.62,4.46,8.72,17.43,9.01,4.91,6.55,9.16
194007,3.16,1.01,-0.74,0.01,-0.02,5.92,4.98,3.19,3.15,5.68,1.97,0.08,4.39,-0.52,4.71,3.02
194008,2.19,-0.11,0.56,-0.01,1.34,7.39,3.19,1.42,1.78,2.72,-0.36,-1.04,2.9,-2.29,2.42,3.01
194009,2.39,3.22,-1.13,0,2.53,3.17,4.63,-2.26,3.34,4.42,1.66,-2.19,3.32,4.61,-0.41,3.23
194010,3.02,0.28,4.64,0,-1.41,3.94,7.93,6.3,-1.71,2.27,1.61,3.82,0.08,-3,6.35,5.03
194011,-1.61,1.94,0.12,0,-0.99,-0.63,0.74,0.87,-4.64,-4.09,0.61,-13.06,-2.15,-1.82,0.25,-0.18
194012,0.69,-2.15,-0.89,0,0.55,-3.29,0.51,2.31,2.06,0.35,2.04,1.76,0.43,-0.23,-3.16,1.14
194101,-4.17,1,3.83,-0.01,-0.51,-9.22,-7.41,-2.14,-6.32,-2.24,-2.1,-2.16,-3.63,-2.19,-1.21,-1.72
194102,-1.43,-1.57,0.89,-0.01,-2.49,1.27,-1.61,-0.69,-2.66,-0.26,-2.23,-1.2,-2.53,-4.69,-0.62,-0.23
194103,0.84,0.1,3.04,0.01,0.56,-1.7,0.16,3.74,2.03,-0.21,1.78,-3.33,1.21,1.77,0.11,2.24
194104,-5.46,-1.69,3.41,-0.01,-4.13,-10.57,-6.97,1.4,-3.82,-8.85,-6.35,-9.61,-5.22,-5.22,-7.45,-3.71
194105,1.39,-0.66,0.6,0,-1.4,0.41,3.74,5.46,3.09,-0.24,0.4,-4.43,2.27,-1.45,-2.25,-0.62
194106,5.83,1.32,0.59,0,6.28,3.9,6.15,5.22,7.44,10.57,5.04,3.94,5.1,6.72,4.14,4.59
194107,5.87,5.7,7.25,0.03,5.53,3.97,7.85,11.06,5.67,1.35,-0.38,5.33,4.74,8.03,7.6,7.5
194108,-0.17,-0.41,-1.1,0.01,0.83,2.34,-0.79,-3.46,-0.36,0.85,1.06,-2.06,2.37,0.08,0.31,0.17
194109,-0.87,-0.99,-0.28,0.01,1.78,4.14,-3.14,-0.66,-2.02,-1.51,0.25,-2.85,0.43,-0.21,0.54,-3.29
194110,-5.25,-2.02,1.63,0,-7.04,-7.98,-6.74,2.19,-5.98,-10.76,-2.72,-9.68,-5.2,-3.69,-5.98,-3.66
194111,-1.92,-1.21,-0.64,0,-3.15,-3.64,-2.27,3.13,0.07,-2.33,-4.03,-6.68,-4.52,-2.93,-2.59,-1.29
194112,-4.87,-2.98,-5.94,0.01,-3.95,-11.79,1.51,-11.1,0.14,-0.78,-8.59,-7.48,-9.83,-1.59,-7.53,-4.85
194201,0.79,7.52,10.1,0.02,2.54,6.25,1.29,-1.63,-7.7,2.01,-1.37,4.09,0.66,-2.99,5.77,10.38
194202,-2.46,1.72,-1.13,0.01,-5.5,5.15,-0.87,-5.83,-4.98,-2.54,-0.57,-2.45,-1.92,-5.35,0.24,-2.32
